gauge_id,huc,gauge_lon,gauge_lat,uparea_km2,snapped_lon,snapped_lat,snapped_uparea,area_percent_difference,nesting
14015,14,73.11033,18.7354,125.7,73.125,18.725,116.744995,7.1241064,not_nested
15006,15,74.88124,13.51876,299.6,74.925,13.475,329.44485,9.961565,not_nested
05025,05,78.05617,11.93959,356.0,78.125,11.975,331.35648,6.922338,not_nested
15032,15,74.98123,13.29791,356.9,74.975,13.275,329.7171,7.616389,not_nested
15007,15,76.84792,8.71458,555.8,76.875,8.725,578.0808,4.0087843,not_nested
04051,04,75.59377,17.36875,611.4,75.525,17.325,617.89734,1.0626944,not_nested
15014,15,76.60626,9.67708,618.5,76.625,9.675,667.5735,7.9342747,not_nested
14014,14,73.26452,20.11042,677.5,73.275,20.075,695.1195,2.600665,not_nested
15031,15,77.08958,9.57291,711.5,77.075,9.575,759.0747,6.6865363,nested_upstream
17001,17,77.51042,9.92708,716.0,77.525,9.925,697.82666,2.5381758,nested_upstream
15001,15,74.95211,12.93124,718.7,74.975,12.925,719.967,0.17628603,not_nested
15012,15,76.65205,9.40209,732.6,76.675,9.425,667.92725,8.827837,not_nested
15018,15,77.18543,8.30211,738.7,77.175,8.325,730.8335,1.0649135,not_nested
14012,14,73.28123,20.20206,763.1,73.325,20.225,694.2531,9.021997,not_nested
12015,12,74.85208,22.20625,787.1,74.875,22.225,741.1287,5.840586,not_nested
15013,15,76.03958,11.05623,793.8,76.025,11.075,755.42267,4.8346334,not_nested
15030,15,76.7146,9.21466,838.7,76.725,9.225,790.1302,5.7910843,not_nested
14005,14,74.0979,15.47291,878.9,74.125,15.475,830.90894,5.460358,not_nested
15009,15,75.14787,12.48125,912.0,75.175,12.475,871.72943,4.4156322,not_nested
07001,07,85.51875,20.93127,937.2,85.525,20.975,891.3073,4.896788,not_nested
14001,14,73.25624,19.16042,973.1,73.275,19.175,903.1876,7.184499,not_nested
05024,05,76.03958,12.98127,975.3,76.025,13.025,1019.41516,4.5232415,nested_upstream
08023,08,82.21876,23.20624,1026.0,82.225,23.225,1047.41,2.086748,nested_upstream
03017,03,81.48539,19.64793,1026.2,81.475,19.675,1072.3019,4.49249,nested_upstream
15023,15,75.58957,11.98125,1068.8,75.575,11.975,1054.1466,1.3710182,not_nested
03076,03,81.79791,18.18957,1175.1,81.825,18.225,1141.0128,2.900788,nested_upstream
05023,05,77.75208,11.52708,1207.5,77.775,11.525,1205.9353,0.12958156,not_nested
15022,15,76.76041,9.07292,1220.6,76.775,9.075,1277.0751,4.626831,not_nested
05013,05,76.08542,11.81041,1235.1,76.075,11.825,1326.5944,7.407852,nested_upstream
15005,15,76.31458,10.28124,1341.5,76.375,10.325,1302.1455,2.9336185,not_nested
05022,05,76.91875,11.57292,1360.1,76.925,11.575,1387.6586,2.0262182,nested_upstream
17019,17,77.48549,10.00207,1364.1,77.475,10.025,1364.764,0.048681367,nested_upstream
03024,03,78.43542,18.82708,1426.7,78.425,18.825,1401.8103,1.744561,not_nested
05007,05,76.28959,12.34792,1464.5,76.275,12.325,1414.4093,3.4203277,not_nested
03099,03,81.88542,19.26875,1480.7,81.875,19.275,1540.1384,4.014215,nested_upstream
15026,15,76.46873,9.84792,1482.2,76.475,9.825,1607.2528,8.436976,not_nested
04024,04,75.63541,17.28541,1482.6,75.625,17.275,1413.7555,4.643497,not_nested
12006,12,79.33958,22.92708,1489.5,79.375,22.875,1593.2686,6.9666705,nested_upstream
05015,05,76.89374,11.28959,1498.9,76.875,11.275,1510.2083,0.75443506,nested_upstream
14004,14,72.98123,20.85625,1526.1,73.025,20.875,1498.7316,1.7933562,not_nested
05005,05,77.78541,12.12292,1593.4,77.825,12.125,1563.8049,1.8573549,not_nested
15019,15,76.66445,9.33125,1649.9,76.725,9.375,1670.572,1.2529242,not_nested
03091,03,80.81876,17.58959,1653.4,80.775,17.575,1615.7249,2.2786484,not_nested
12044,12,74.74378,21.94375,1668.2,74.775,21.925,1746.5354,4.695807,not_nested
03047,03,82.23542,19.27711,1674.8,82.225,19.275,1684.6956,0.59084713,nested_upstream
04028,04,80.35625,16.91875,1684.8,80.325,16.925,1706.6226,1.295258,nested_upstream
05010,05,75.96041,12.50208,1742.8,75.975,12.475,1744.2417,0.082720354,not_nested
14008,14,73.13957,21.01459,1749.5,73.175,21.025,1784.8881,2.022753,not_nested
03107,03,80.08958,20.41875,1764.7,80.075,20.425,1760.8933,0.21571036,not_nested
12012,12,77.3104,22.40627,1764.8,77.325,22.375,1827.0328,3.5263364,not_nested
03089,03,79.92709,20.91041,1780.3,79.925,20.925,1697.0964,4.6735725,not_nested
07005,07,85.67283,22.06882,1828.7,85.625,22.075,1717.4817,6.0818214,nested_upstream
03105,03,81.23125,19.01457,1873.6,81.275,18.975,1749.812,6.606958,nested_upstream
11005,11,73.16876,24.35624,1885.1,73.175,24.375,1909.3787,1.2879257,nested_upstream
03082,03,79.66456,20.19383,1898.6,79.675,20.225,1848.5033,2.6386116,not_nested
04063,04,74.1646,17.27292,1908.8,74.125,17.275,1851.2272,3.0161817,nested_upstream
13013,13,74.71454,20.91042,1921.8,74.675,20.925,1957.6609,1.8660026,not_nested
03019,03,77.58123,18.56041,1922.9,77.575,18.575,1899.3882,1.2227283,not_nested
03002,03,81.78958,19.29786,1931.8,81.775,19.325,1886.4326,2.3484538,nested_upstream
04048,04,74.49793,16.85628,2010.2,74.475,16.825,2092.0762,4.0730386,nested_upstream
15017,15,76.02291,11.23958,2038.3,76.075,11.225,1962.112,3.73782,not_nested
14003,14,72.93125,19.71457,2039.6,72.925,19.725,1972.4717,3.291248,not_nested
04025,04,75.63542,14.50209,2061.5,75.625,14.475,2059.645,0.08998208,nested_upstream
03009,03,77.54375,18.71038,2117.2,77.525,18.775,2159.5818,2.0017872,not_nested
16001,16,82.99377,17.69795,2117.9,82.975,17.725,2227.989,5.1980314,not_nested
04044,04,74.00206,18.66876,2141.9,73.975,18.675,2187.412,2.1248522,nested_upstream
03056,03,77.98538,20.18962,2187.4,77.975,20.225,2080.8308,4.871953,nested_upstream
08001,08,81.60621,21.8354,2229.2,81.575,21.825,2227.6545,0.069325775,nested_upstream
12018,12,78.79373,22.92291,2231.9,78.825,22.925,2248.3203,0.7357145,not_nested
04047,04,74.52709,16.56458,2285.3,74.525,16.575,2216.5908,3.0065737,not_nested
12016,12,81.07708,22.94792,2326.9,81.075,22.925,2303.2144,1.0179014,nested_upstream
17012,17,79.89793,13.94792,2427.3,79.875,13.925,2333.9316,3.846595,not_nested
04055,04,76.27706,16.47296,2434.4,76.275,16.475,2625.9688,7.8692427,not_nested
04056,04,74.57292,16.67708,2444.2,74.525,16.675,2508.7422,2.6406283,nested_upstream
09008,09,79.01875,14.71875,2460.6,79.025,14.775,2289.5422,6.951876,not_nested
08028,08,81.59373,21.33957,2483.6,81.575,21.325,2331.5635,6.1216226,nested_upstream
04041,04,80.04792,16.94791,2489.0,80.075,16.925,2617.7075,5.1710534,not_nested
04005,04,75.78124,14.43542,2507.6,75.775,14.425,2418.7292,3.5440598,nested_upstream
03083,03,78.82291,21.71876,2520.0,78.775,21.775,2430.368,3.5568285,nested_upstream
10013,10,73.07707,22.1104,2565.5,73.075,22.125,2539.2834,1.0218886,not_nested
12001,12,80.37708,22.48542,2579.1,80.375,22.475,2427.7776,5.86726,nested_upstream
04050,04,75.58537,13.92704,2761.3,75.575,13.925,2723.3625,1.3738999,nested_upstream
15020,15,76.48541,10.76041,2805.2,76.525,10.775,2722.7397,2.9395483,nested_upstream
08009,08,82.21874,22.05624,2964.9,82.225,22.075,3163.2808,6.69098,nested_upstream
11007,11,72.88542,22.97708,3025.2,72.925,22.975,2829.7087,6.462092,nested_upstream
03040,03,79.89793,22.38124,3059.2,79.875,22.375,3080.684,0.7022794,nested_upstream
04039,04,75.36461,15.56878,3079.1,75.375,15.575,3176.9395,3.1775308,nested_upstream
03013,03,79.50625,19.33125,3182.0,79.475,19.325,3255.8435,2.3206632,not_nested
17003,17,78.53958,12.68125,3206.6,78.525,12.675,3119.3972,2.719481,nested_upstream
07015,07,84.41875,22.62292,3223.2,84.425,22.625,3236.0508,0.39869788,nested_upstream
08005,08,81.8854,20.91036,3238.2,81.925,20.825,3235.253,0.091008015,nested_upstream
04012,04,79.33959,16.78956,3284.3,79.325,16.775,3388.6763,3.1780355,not_nested
15008,15,75.04375,12.88125,3295.4,75.075,12.875,3182.4368,3.4279037,not_nested
05021,05,77.43542,12.51458,3380.8,77.425,12.525,3271.3086,3.2386255,not_nested
11006,11,73.01041,24.23125,3433.4,73.025,24.225,3452.5327,0.55725557,nested_upstream
04015,04,75.68541,13.97709,3442.6,75.675,13.975,3473.0361,0.88410026,nested_upstream
08030,08,82.51875,21.65209,3450.8,82.525,21.625,3392.8152,1.680331,not_nested
05004,05,77.88959,11.03127,3500.6,77.875,11.025,3534.992,0.98245573,not_nested
03038,03,77.14791,19.96041,3519.2,77.125,19.925,3529.5862,0.29513043,nested_upstream
10004,10,74.31874,23.05625,3608.2,74.325,23.075,3581.2915,0.74575824,not_nested
13012,13,77.36053,20.84791,3613.7,77.375,20.825,3653.402,1.0986564,nested_upstream
03068,03,82.51038,19.19789,3661.3,82.525,19.175,3609.8513,1.4052039,nested_upstream
10010,10,74.72291,23.34788,3768.8,74.725,23.325,3831.8713,1.6735113,nested_upstream
17007,17,77.98961,9.3271,3901.7,77.975,9.325,3886.9763,0.37736455,not_nested
12029,12,75.68123,22.1021,3934.0,75.675,22.075,3808.486,3.190491,not_nested
12009,12,73.46456,22.04789,3957.8,73.475,22.075,3880.331,1.9573752,not_nested
12038,12,80.62293,22.76457,3997.6,80.625,22.825,3988.4365,0.22922689,nested_upstream
12043,12,79.6604,23.31043,4087.6,79.675,23.325,4018.0698,1.7010047,nested_upstream
15021,15,76.50207,10.18124,4150.4,76.525,10.175,4124.1597,0.63223386,nested_downstream
04023,04,76.31876,13.75209,4297.0,76.325,13.725,4252.0977,1.0449697,nested_upstream
06007,06,86.91871,21.54795,4450.4,86.925,21.575,4465.747,0.3448492,not_nested
03064,03,78.81039,20.52707,4585.7,78.825,20.525,4493.254,2.015969,nested_upstream
08031,08,83.53958,20.98123,4672.4,83.525,20.975,4545.0493,2.7255926,not_nested
17011,17,77.83541,8.71458,4734.6,77.825,8.675,4775.228,0.8581069,not_nested
08021,08,83.20623,21.98544,4780.7,83.225,21.975,4701.047,1.6661433,not_nested
12036,12,80.51457,22.73541,4943.3,80.475,22.725,4915.391,0.56457615,nested_upstream
03014,03,78.13544,21.10625,4983.6,78.125,21.125,5080.7466,1.9493233,nested_upstream
03092,03,82.14374,18.61456,5097.7,82.175,18.625,5426.845,6.4567356,nested_upstream
17006,17,78.13959,12.55626,5138.0,78.125,12.575,5221.5054,1.6252505,nested_upstream
05001,05,76.40207,12.60195,5153.5,76.425,12.625,5281.634,2.486345,nested_downstream
04032,04,75.61875,14.93957,5183.1,75.575,14.925,5095.641,1.6873876,not_nested
03081,03,80.2521,21.62292,5402.8,80.275,21.625,5422.368,0.36218923,not_nested
04021,04,74.18959,17.29375,5432.2,74.175,17.275,5490.919,1.0809386,nested_upstream
03110,03,76.76876,19.3979,5576.9,76.775,19.375,5629.373,0.9409017,nested_upstream
03069,03,74.83542,19.53543,5581.8,74.825,19.525,5725.448,2.5735147,not_nested
05018,05,77.5104,11.51875,5656.3,77.475,11.525,5613.921,0.7492337,nested_downstream
17015,17,78.58958,9.55209,5820.4,78.525,9.575,5791.127,0.5029371,nested_downstream
15016,15,76.02291,10.85208,5866.6,76.025,10.875,5716.9507,2.5508714,nested_downstream
08036,08,84.01041,22.11448,5937.2,84.025,22.125,5863.7437,1.2372253,not_nested
09011,09,78.01456,14.59792,5959.8,77.975,14.625,5942.524,0.28987348,not_nested
06001,06,86.17292,22.79374,6350.2,86.175,22.775,6210.5356,2.1993725,nested_upstream
11001,11,72.80624,23.577,6396.1,72.825,23.575,6298.548,1.5251832,nested_upstream
13006,13,76.75626,21.5146,6806.2,76.775,21.525,6617.7583,2.7686799,nested_upstream
04049,04,75.01042,17.91041,6807.1,74.975,17.925,6735.6333,1.0498861,nested_upstream
16004,16,83.80617,19.08122,6998.7,83.825,19.075,7002.5864,0.055527892,nested_upstream
16012,16,84.88541,19.51459,7055.4,84.875,19.525,7105.9546,0.71653897,not_nested
05028,05,76.89375,12.23125,7095.3,76.875,12.225,7049.591,0.644215,nested_downstream
08020,08,81.24788,21.23541,7097.7,81.225,21.225,6999.2485,1.3870924,nested_upstream
09005,09,78.67705,14.58124,7157.2,78.675,14.575,7052.205,1.466986,not_nested
17009,17,79.47292,11.42292,7215.9,79.425,11.425,7118.943,1.3436582,not_nested
03031,03,82.02286,19.11041,7339.7,82.025,19.125,7186.0566,2.093322,nested_upstream
04016,04,75.6604,14.2396,7452.5,75.675,14.225,7361.3354,1.2232748,nested_upstream
16007,16,83.87293,18.8479,7987.0,83.825,18.875,7876.427,1.3844151,nested_downstream
05027,05,77.19376,12.41874,8157.8,77.175,12.425,8101.6426,0.6883869,not_nested
13010,13,76.99375,20.87291,8181.6,77.025,20.875,8174.3354,0.08879252,nested_upstream
04030,04,77.15625,17.20208,8380.0,77.175,17.225,8347.472,0.38816613,not_nested
09001,09,78.66878,14.71878,8394.9,78.675,14.725,8317.891,0.91733986,not_nested
03048,03,80.17707,21.8854,8432.2,80.175,21.925,8332.922,1.1773715,nested_downstream
08029,08,81.87708,20.97292,8511.2,81.875,20.975,8520.702,0.11164058,nested_downstream
10014,10,74.22287,23.87292,8586.2,74.225,23.875,8412.401,2.0241647,nested_upstream
07002,07,86.12295,21.21038,8655.2,86.125,21.225,8705.6,0.58230215,nested_downstream
05014,05,77.98542,10.88125,8725.0,77.975,10.875,8685.569,0.4519274,not_nested
13004,13,76.23125,21.29791,9069.7,76.225,21.325,8971.396,1.0838695,nested_downstream
16014,16,83.88541,18.31459,9118.9,83.875,18.325,8921.514,2.1645892,not_nested
08003,08,82.71459,21.89788,9859.5,82.675,21.925,9918.902,0.6024884,nested_downstream
04006,04,75.72293,15.87294,9938.7,75.725,15.875,10262.871,3.2617033,nested_downstream
03085,03,77.05207,18.07711,10218.9,77.025,18.075,10438.105,2.1450946,not_nested
03030,03,78.32295,20.54791,10292.8,78.275,20.575,10298.081,0.05131014,nested_upstream
07008,07,85.10622,22.32291,10541.1,85.125,22.325,10427.905,1.073838,nested_upstream
04022,04,80.31875,16.71458,10544.6,80.325,16.725,10169.3125,3.5590456,nested_downstream
03094,03,79.23124,21.21878,11201.1,79.225,21.225,11275.736,0.66633385,nested_downstream
04007,04,79.66875,16.73946,11312.0,79.675,16.775,11526.812,1.8989702,not_nested
17022,17,78.97721,12.06457,11656.4,78.975,12.075,11781.299,1.071501,nested_upstream
