gauge_id,huc,gauge_lon,gauge_lat,uparea_km2,snapped_lon,snapped_lat,snapped_uparea,area_percent_difference,nesting
06452000,10,-99.55649,43.74833,25817.78,-99.525,43.775,26081.82,1.02271,nested_downstream
13340000,17,-116.2575,46.47833,14270.76,-116.275,46.475,14113.031,1.1052566,nested_downstream
06447000,10,-101.52487,43.7525,12869.46,-101.575,43.725,12933.43,0.49706614,nested_upstream
06360500,10,-100.84292,45.25582,12601.47,-100.875,45.275,12741.733,1.113074,not_nested
06354000,10,-100.93444,46.37611,10626.74,-100.925,46.375,10708.444,0.76885384,nested_downstream
06934000,10,-91.81989,38.38881,8267.52,-91.825,38.325,8260.258,0.08783431,not_nested
06441500,10,-100.3843,44.32665,8143.02,-100.375,44.325,8026.922,1.4257382,nested_downstream
07301500,11,-99.50731,35.16811,6885.01,-99.525,35.175,6806.42,1.141463,nested_downstream
06191500,10,-110.79438,45.11188,6808.28,-110.775,45.125,6873.8955,0.9637636,nested_downstream
06784000,10,-98.74053,41.03244,6386.88,-98.775,41.025,5908.691,7.487051,not_nested
02315500,03,-82.73818,30.32578,5915.63,-82.725,30.325,6233.5996,5.3750777,nested_downstream
07068000,11,-90.84762,36.622,5312.93,-90.875,36.625,5348.895,0.6769305,nested_downstream
07226500,11,-103.52579,35.43838,5245.84,-103.525,35.475,5225.8447,0.38116142,not_nested
09430500,15,-108.53727,33.06118,4809.49,-108.525,33.075,4775.7305,0.7019406,not_nested
06353000,10,-101.33374,46.09167,4605.23,-101.325,46.075,4680.3286,1.6307249,nested_upstream
05131500,09,-93.54933,48.39578,4344.13,-93.575,48.375,4364.3555,0.46558428,not_nested
07067000,11,-91.01351,36.99138,4315.66,-91.025,36.975,4383.5864,1.5739486,nested_upstream
06450500,10,-100.74986,43.60139,4074.44,-100.775,43.575,4334.1343,6.373743,nested_upstream
05412500,07,-91.2618,42.73999,4026.17,-91.275,42.725,4121.9487,2.3789062,not_nested
07014500,07,-91.10846,38.15853,3851.18,-91.125,38.125,3884.6992,0.87036407,not_nested
01030500,01,-68.30596,45.50097,3676.09,-68.275,45.525,3585.8716,2.4541974,not_nested
08079600,12,-101.19763,33.03843,3512.25,-101.225,33.025,3462.7075,1.4105624,not_nested
05585000,07,-90.63179,40.02477,3371.38,-90.675,40.025,3348.2092,0.68727505,nested_downstream
13340600,17,-115.6207,46.84047,3354.61,-115.575,46.825,3422.0806,2.0112758,not_nested
06468250,10,-98.79761,47.39972,3247.76,-98.775,47.425,3219.5386,0.8689508,nested_downstream
06339500,10,-102.05989,47.15445,3161.84,-102.075,47.125,3142.9778,0.596561,nested_downstream
13337000,17,-115.58722,46.15083,3052.66,-115.575,46.175,3012.6687,1.3100448,nested_upstream
13338500,17,-115.97667,46.08639,3025.65,-115.975,46.075,2870.1619,5.138996,nested_upstream
04056500,04,-86.16125,46.03053,2984.03,-86.125,46.025,2847.186,4.5858784,not_nested
03164000,05,-80.97897,36.64735,2963.7,-80.975,36.625,3082.0654,3.9938416,nested_downstream
06464500,10,-99.78067,43.02889,2924.68,-99.775,43.025,3074.119,5.1095834,not_nested
12358500,17,-114.01012,48.49524,2916.98,-114.025,48.475,2988.6294,2.4562874,not_nested
06468170,10,-98.86289,47.55805,2833.13,-98.825,47.525,2780.677,1.8514111,nested_upstream
02314500,03,-82.56056,30.68056,2808.45,-82.525,30.725,3071.4326,9.363979,nested_upstream
12414500,17,-116.18905,47.27464,2660.37,-116.125,47.275,2674.7888,0.54198104,not_nested
07148400,11,-98.64814,36.81503,2560.49,-98.625,36.825,2515.3298,1.763731,not_nested
05062500,09,-96.24478,47.26663,2435.91,-96.175,47.275,2375.2454,2.4904268,not_nested
03213700,05,-82.28014,37.67316,2431.37,-82.275,37.675,2382.2405,2.0206566,not_nested
05514500,07,-90.97754,39.0088,2410.51,-90.975,39.025,2351.9438,2.429617,not_nested
05129115,09,-92.56599,48.26463,2373.72,-92.575,48.275,2325.821,2.0178845,not_nested
01013500,01,-68.58264,47.23739,2303.95,-68.575,47.175,2304.2024,0.0109568965,not_nested
04124000,04,-85.69868,44.43639,2288.73,-85.675,44.425,2338.3137,2.1664302,not_nested
07149000,11,-98.47021,37.0392,2263.93,-98.525,37.075,2309.771,2.0248446,not_nested
07056000,11,-92.74755,35.98318,2147.73,-92.775,35.975,2152.8105,0.23655516,not_nested
08164000,12,-96.68637,28.95998,2120.71,-96.725,29.025,2126.5527,0.27551025,not_nested
06043500,10,-111.27051,45.49743,2120.46,-111.275,45.475,2161.3777,1.9296627,not_nested
07151500,11,-97.60144,37.12891,2111.79,-97.625,37.175,2113.072,0.060705964,not_nested
06453600,10,-98.17586,42.81099,2104.33,-98.225,42.825,2105.4585,0.05362362,not_nested
07292500,08,-91.10944,31.32472,2076.55,-91.075,31.325,2132.766,2.7071855,not_nested
07071500,11,-91.20082,36.64868,2030.3,-91.175,36.675,2029.017,0.06319662,not_nested
11528700,18,-123.4942,40.64986,1982.54,-123.475,40.625,1977.6499,0.24666017,not_nested
04045500,04,-85.26955,46.57502,1967.44,-85.275,46.575,2010.2072,2.1737494,not_nested
11522500,18,-123.47756,41.37763,1946.3,-123.425,41.375,1907.0898,2.0146024,not_nested
11473900,18,-123.32529,39.70627,1930.41,-123.275,39.725,2020.7877,4.681787,not_nested
02472000,03,-89.40694,31.70694,1927.67,-89.425,31.725,1937.5475,0.51240313,not_nested
07142300,11,-98.87614,37.87159,1923.39,-98.875,37.875,1908.8682,0.7550133,not_nested
08190000,12,-99.99729,29.42857,1923.12,-99.975,29.425,1982.7028,3.0982344,not_nested
12189500,17,-121.56846,48.42456,1858.59,-121.575,48.425,1818.3687,2.1640768,nested_downstream
02231000,03,-82.0815,30.35885,1857.37,-82.125,30.375,2023.0465,8.919952,not_nested
03069500,05,-79.68117,39.12288,1853.2,-79.675,39.125,1925.8014,3.917626,not_nested
03281500,05,-83.67519,37.47981,1836.71,-83.625,37.475,1798.6825,2.0704122,not_nested
08189500,12,-97.27916,28.29195,1816.51,-97.325,28.325,1735.8586,4.4399076,not_nested
08190500,12,-100.23646,29.47273,1800.66,-100.275,29.475,1849.0266,2.686047,not_nested
01144000,01,-72.41815,43.71424,1780.65,-72.425,43.725,1763.4703,0.9647987,not_nested
02361000,03,-85.61049,31.34295,1779.3,-85.575,31.375,1710.2449,3.8810306,not_nested
01543500,02,-78.10306,41.31728,1778.96,-78.125,41.325,1834.0503,3.0967717,nested_downstream
14301000,17,-123.7554,45.704,1745.19,-123.725,45.725,1661.3344,4.804955,not_nested
06188000,10,-110.39381,44.92772,1730.62,-110.375,44.925,1733.8335,0.18568495,nested_upstream
05584500,07,-90.89624,40.33032,1711.89,-90.925,40.325,1717.9772,0.35558113,nested_upstream
07290650,08,-90.87694,32.01778,1694.61,-90.825,32.025,1625.1421,4.0993443,not_nested
09494000,15,-110.16677,33.73644,1628.4,-110.175,33.725,1743.7346,7.082694,not_nested
01664000,02,-77.8136,38.53068,1604.64,-77.825,38.575,1666.526,3.85669,not_nested
11532500,18,-124.07619,41.7915,1590.16,-124.075,41.775,1707.2395,7.362747,not_nested
08086212,12,-99.14063,32.7329,1590.1,-99.125,32.725,1666.7554,4.820791,not_nested
01548500,02,-77.44748,41.52174,1557.98,-77.425,41.525,1571.4381,0.8638192,not_nested
02108000,03,-77.83222,34.82889,1550.74,-77.825,34.825,1569.1151,1.184926,not_nested
04027000,04,-90.6963,46.48661,1547.15,-90.675,46.475,1561.4996,0.92748666,not_nested
06847900,10,-100.10078,39.76985,1539.16,-100.125,39.775,1477.974,3.9752874,not_nested
06477500,10,-98.24567,43.7764,1533.63,-98.275,43.775,1675.5654,9.254868,not_nested
05120500,09,-100.53986,48.13834,1509.83,-100.525,48.125,1516.5452,0.44476599,not_nested
06350000,10,-102.55183,46.42667,1506.19,-102.575,46.425,1450.3972,3.7042289,nested_upstream
07315700,11,-97.56697,34.00426,1491.41,-97.625,34.025,1430.4944,4.084433,not_nested
07057500,11,-92.24813,36.62303,1456.46,-92.225,36.625,1459.7941,0.22891851,not_nested
02479560,03,-88.45863,30.80908,1455.83,-88.475,30.825,1427.2174,1.9653771,not_nested
06352000,10,-102.47405,46.15417,1443.13,-102.525,46.175,1456.043,0.8947886,nested_upstream
02051500,03,-77.83166,36.71681,1432.41,-77.875,36.725,1434.9009,0.17389189,not_nested
08175000,12,-97.44943,29.21525,1425.27,-97.475,29.275,1399.7701,1.7891262,not_nested
06906800,10,-92.97883,38.70225,1411.96,-92.975,38.675,1475.4287,4.4950814,not_nested
02196000,03,-82.18179,33.7293,1408.7,-82.175,33.775,1435.7625,1.9210975,not_nested
02350900,03,-84.25333,31.76444,1365.59,-84.275,31.825,1361.2012,0.32138446,not_nested
03182500,05,-80.13062,38.18595,1364.86,-80.075,38.175,1357.563,0.53463334,not_nested
08014500,08,-92.89319,30.69875,1325.02,-92.875,30.725,1350.7999,1.945624,not_nested
08013000,08,-92.67375,30.99602,1300.18,-92.675,31.025,1214.9464,6.555526,not_nested
02363000,03,-85.783,31.59489,1292.62,-85.775,31.625,1285.4098,0.55779773,not_nested
02371500,03,-86.25162,31.5735,1257.42,-86.225,31.575,1206.6628,4.036615,not_nested
09484600,15,-110.67758,32.03591,1240.13,-110.675,32.025,1259.0127,1.522638,not_nested
08194200,12,-98.96697,27.96501,1233.44,-98.975,27.975,1229.0736,0.3539964,not_nested
04074950,04,-88.73344,45.18997,1216.29,-88.775,45.225,1152.2953,5.2614713,not_nested
01667500,02,-77.975,38.35041,1210.75,-78.025,38.325,1164.2616,3.839637,nested_downstream
02016000,02,-79.75949,37.7918,1194.92,-79.775,37.825,1192.3511,0.21499093,nested_downstream
04059500,04,-87.20152,45.75552,1188.82,-87.225,45.775,1183.7483,0.42661256,not_nested
08101000,12,-97.88502,31.28489,1184.49,-97.875,31.275,1105.9231,6.6329727,not_nested
05466500,07,-90.96737,41.18698,1163.86,-90.975,41.225,1163.4458,0.035587147,not_nested
13023000,17,-110.97667,43.14278,1163.72,-110.975,43.125,1065.8613,8.409123,not_nested
03604000,06,-87.8328,35.49591,1163.35,-87.825,35.425,1259.9435,8.303048,not_nested
13235000,17,-115.62222,44.08528,1158.47,-115.625,44.075,1222.4261,5.5207453,not_nested
05525500,07,-87.72392,40.63004,1158.24,-87.725,40.625,1222.4412,5.542994,not_nested
12040500,17,-124.31575,47.53786,1155.71,-124.325,47.525,1211.4905,4.826515,not_nested
02479300,03,-88.78111,30.73611,1153.42,-88.775,30.725,1086.9971,5.7587843,not_nested
02372250,03,-86.40552,31.59627,1145.56,-86.375,31.575,1101.9674,3.8053572,not_nested
01552000,02,-76.91246,41.32508,1129.55,-76.925,41.325,1020.6879,9.637653,not_nested
03300400,05,-85.29607,37.83284,1128.54,-85.275,37.825,1197.8553,6.1420336,not_nested
04024430,04,-92.09408,46.63327,1094.55,-92.125,46.625,1066.8967,2.5264556,not_nested
06892000,10,-95.01088,39.11633,1091.6,-95.025,39.125,1124.3499,3.0001721,not_nested
06885500,10,-96.44289,39.68192,1075.14,-96.425,39.725,1070.1552,0.4636478,not_nested
08171300,12,-97.91,29.97938,1073.92,-97.925,29.975,1042.3517,2.9395447,not_nested
06919500,10,-93.87549,37.8342,1069.85,-93.925,37.825,1126.6753,5.311522,not_nested
04185000,04,-84.42967,41.5045,1064.22,-84.425,41.525,1062.6011,0.15212047,not_nested
06876700,10,-97.83696,39.13907,1054.05,-97.825,39.125,1006.67084,4.494968,not_nested
07066000,11,-91.35816,37.15408,1050.66,-91.375,37.175,1110.1024,5.657623,nested_upstream
05495000,07,-91.59788,40.39241,1029.86,-91.625,40.425,1080.3457,4.902192,not_nested
08195000,12,-99.70478,29.48857,1009.88,-99.725,29.525,1045.0752,3.4850862,not_nested
08070200,12,-95.12438,30.14549,1005.97,-95.125,30.125,1064.1814,5.786597,nested_downstream
03237500,05,-83.42102,38.80368,1001.42,-83.425,38.825,913.8354,8.74604,not_nested
07362100,08,-92.77711,33.37596,996.74,-92.775,33.375,1006.15906,0.9449874,not_nested
06470800,10,-98.07177,46.22524,995.65,-98.075,46.225,1045.0289,4.959464,not_nested
13161500,17,-115.67453,41.93324,990.34,-115.675,41.925,993.71454,0.34074274,not_nested
05489000,07,-92.90853,41.219,974.93,-92.925,41.225,1003.54767,2.935357,not_nested
07346045,11,-94.35742,32.77792,963.16,-94.375,32.825,932.7346,3.1589098,not_nested
