gauge_id,huc,gauge_lon,gauge_lat,uparea_km2,snapped_lon,snapped_lat,snapped_uparea,area_percent_difference,nesting
hysets_010735562,01,-71.16478279,42.94897557,41.43855682560661,-71.175,42.925,45.347492,9.433087,not_nested
hysets_01195339,01,-72.796765,41.2959303,43.55345523960179,-72.775,41.325,46.4901,6.7426233,not_nested
hysets_01126600,01,-71.95646249,41.76537638,43.926884473741744,-71.975,41.825,46.136967,5.0312767,not_nested
hysets_01101344,01,-71.1111111,42.5611111,45.00841828935255,-71.125,42.525,45.636566,1.3956214,not_nested
hysets_011277905,01,-72.2022222,41.3686111,45.52826231092525,-72.225,41.425,46.402153,1.9194448,not_nested
hysets_01209105,01,-73.3241194,41.22874167,46.60496387361542,-73.325,41.275,46.507656,0.20879558,not_nested
hysets_01196580,01,-72.8414888,41.36870827,46.67521870792917,-72.775,41.425,46.402153,0.58503735,not_nested
hysets_01127729,01,-72.03646539,41.49787587,46.70644862376359,-71.975,41.475,46.366913,0.72695476,not_nested
hysets_01195117,01,-72.6125926,41.3853762,47.35516817253023,-72.625,41.375,46.43735,1.9381542,not_nested
hysets_01198800,01,-73.3212287,41.94870478,48.770541507341406,-73.275,41.925,46.083687,5.5091763,not_nested
hysets_01121330,01,-72.2427806,41.83319444,49.07960196165005,-72.225,41.875,46.083687,6.1041946,not_nested
hysets_010965817,01,-71.32923,42.872587,63.23061763475658,-71.325,42.875,68.03937,7.6050973,not_nested
hysets_01192650,01,-72.58425659,41.6639882,64.08374834749168,-72.575,41.675,69.34722,8.213429,not_nested
hysets_01203510,01,-73.2821,41.41925,64.57434375592257,-73.275,41.375,69.7,7.937605,not_nested
hysets_01068980,01,-70.70095,43.47588889,65.37351981109994,-70.725,43.475,67.38281,3.0735574,not_nested
hysets_01067950,01,-70.5533333,43.4322222,65.62148156845042,-70.575,43.475,67.41949,2.7399628,not_nested
hysets_01105933,01,-70.9903171,41.58538185,68.01591663685801,-70.975,41.575,69.41796,2.0613503,not_nested
hysets_01212500,01,-73.66175,41.0272972,70.45187215411866,-73.675,41.075,69.96299,0.69392616,not_nested
hysets_01105583,01,-70.9781026,42.22093308,73.37679231535157,-71.025,42.175,68.81358,6.218873,not_nested
hysets_01199050,01,-73.3909532,41.94231548,75.51002363007242,-73.425,41.975,69.02768,8.584748,not_nested
hysets_01021230,01,-67.2669444,44.8869444,85.65801847826931,-67.375,44.925,87.69928,2.3830342,not_nested
hysets_01097480,01,-71.4564509,42.26009564,90.10932358679273,-71.525,42.275,91.66796,1.7297206,not_nested
hysets_01129440,01,-71.4100824,44.8744921,91.08410721959407,-71.375,44.875,87.774605,3.6334567,not_nested
hysets_01125490,01,-71.9300083,41.92784444,92.98293065435774,-71.975,41.925,92.06064,0.9918966,not_nested
hysets_01196626,01,-72.91037969,41.3359304,94.1031267305242,-72.925,41.375,92.82189,1.361522,nested_downstream
hysets_01189390,01,-72.77954,41.95426328,101.47270659049715,-72.775,41.975,92.02504,9.310553,not_nested
hysets_01095375,01,-71.8281279,42.37286967,115.00979346189747,-71.875,42.375,114.342995,0.57977796,not_nested
hysets_01AJ011,01,-67.46917,46.34222,156.4014050787423,-67.475,46.375,170.87312,9.252938,not_nested
hysets_01022260,01,-67.7872222,44.69777778,161.88181061130035,-67.825,44.675,175.9064,8.663479,not_nested
hysets_01103280,01,-71.3895032,42.1398197,168.55548832085296,-71.425,42.125,183.67557,8.970392,nested_downstream
hysets_01064801,01,-71.2878488,43.83007396,172.55413009685302,-71.325,43.825,178.66301,3.5402727,not_nested
hysets_01100627,01,-71.1492239,42.6714806,172.59570450158165,-71.175,42.625,159.65588,7.4971857,not_nested
hysets_01096000,01,-71.6578479,42.63425619,172.64293668107635,-71.675,42.625,182.14981,5.506673,not_nested
hysets_01201510,01,-73.4173433,41.5367612,173.4125923469938,-73.425,41.475,185.7318,7.103981,nested_downstream
hysets_01196220,01,-72.871768,41.537042,177.86544774650903,-72.875,41.525,162.0989,8.864307,not_nested
hysets_01059160,01,-70.0902417,44.02035278,180.8053450530936,-70.125,44.075,177.79272,1.6662223,not_nested
hysets_01AF009,01,-68.35683,47.45783,183.5886207482484,-68.375,47.475,167.29817,8.873344,not_nested
hysets_01206000,01,-73.06427468,41.7042641,185.6460037304512,-73.125,41.725,184.49449,0.6202771,not_nested
hysets_01120000,01,-72.30230258,41.7275989,192.7125479464437,-72.325,41.725,184.6897,4.163121,not_nested
hysets_01204000,01,-73.2245722,41.48193889,195.0603964122166,-73.225,41.525,185.18523,5.0626206,nested_downstream
hysets_02OE018,01,-71.49833,45.04472,213.8670155984432,-71.475,45.075,218.54979,2.189571,not_nested
hysets_01AQ008,01,-66.88694,45.41806,217.88180920726683,-66.875,45.425,217.22221,0.30272913,not_nested
hysets_01105554,01,-71.1458851,42.2092655,220.3674294541396,-71.125,42.225,229.47389,4.1323986,not_nested
hysets_01078000,01,-71.747857,43.56646307,221.2938233553733,-71.775,43.575,224.43806,1.4208447,not_nested
hysets_01AQ001,01,-66.46828,45.16978,230.03591477442475,-66.475,45.175,239.66998,4.1880693,not_nested
hysets_01169000,01,-72.7250922,42.63841775,230.72259338143263,-72.725,42.675,227.4073,1.4369171,not_nested
hysets_01AK001,01,-67.32036,45.94353,233.4260521576041,-67.325,45.925,215.79053,7.555082,not_nested
hysets_01111500,01,-71.5625632,41.99648716,236.36724948885816,-71.575,41.975,230.22278,2.5995438,not_nested
hysets_01055000,01,-70.58888889,44.64277778,249.9442825143387,-70.575,44.675,242.0099,3.1744561,not_nested
hysets_01184500,01,-72.56286569,41.9117641,252.18120137862675,-72.525,41.925,276.05725,9.467816,nested_downstream
hysets_01119384,01,-72.3169444,41.81555556,255.04557433658903,-72.325,41.825,253.29124,0.68785095,nested_downstream
hysets_01153500,01,-72.5175895,43.20868736,262.52387973746835,-72.525,43.225,270.59268,3.0735557,nested_downstream
hysets_01091000,01,-71.64146129,43.01480519,266.1408505538827,-71.675,43.025,271.7763,2.1174757,not_nested
hysets_01152800,01,-72.5200912,43.39785038,297.11810318160644,-72.575,43.375,292.33426,1.6100817,not_nested
hysets_01AF007,01,-67.92128,47.24697,327.5299638178108,-67.925,47.275,336.2496,2.6622403,not_nested
hysets_01135000,01,-72.00009448,44.42283589,333.59522086021866,-71.975,44.425,353.3308,5.916031,not_nested
hysets_01203000,01,-73.32984029,41.54981744,341.9370146969891,-73.325,41.575,346.47025,1.3257511,not_nested
hysets_01AJ010,01,-67.46511,46.34089,342.64554800457034,-67.425,46.325,342.4805,0.048166122,not_nested
hysets_01060000,01,-70.1782694,43.79915,364.3228422836963,-70.225,43.825,356.90097,2.0371697,not_nested
hysets_01038000,01,-69.59388889,44.22277778,374.1723203529344,-69.575,44.225,376.5911,0.64643,not_nested
hysets_01023000,01,-68.3720167,44.84023889,377.6068664025835,-68.375,44.875,394.326,4.4276514,not_nested
hysets_01063100,01,-70.56365,43.978975,384.2451144038436,-70.575,43.975,422.11786,9.856401,not_nested
hysets_01089500,01,-71.36951248,43.25674759,399.1775977835949,-71.375,43.275,382.79428,4.104271,not_nested
hysets_01055500,01,-70.2297222,44.26944444,436.1968122355826,-70.275,44.275,420.87198,3.5132833,not_nested
hysets_01094000,01,-71.5061785,42.8575865,439.5875058987871,-71.575,42.825,476.9094,8.49021,nested_downstream
hysets_01AJ004,01,-67.73844,46.43836,486.3368738755508,-67.775,46.425,533.1286,9.621256,not_nested
hysets_01200000,01,-73.5286833,41.65876389,528.3207690958994,-73.575,41.725,507.8426,3.876083,not_nested
hysets_01027200,01,-69.9936111,45.93527778,580.7643447809344,-70.025,45.975,602.0951,3.6728752,not_nested
hysets_01017290,01,-67.945,46.8886111,598.5994502802909,-67.925,46.875,613.0511,2.4142456,not_nested
